locus,title,description,function
 BSU_15690, yloH, omega subunit of [wiki|RNA polymerase], unknown
 BSU_36980, ywlA, unknown, unknown
 BSU_24260, yqxC, similar to rRNA methyltransferase, unknown
 BSU_06140, gutR, transcription activator of the gutB-gutP operon, regulation of glucitol utilization
 BSU_misc_RNA_86, srlX, , 
 BSU_15610, ylnD, probable uroporphyrin-III C-methyltransferase, siroheme biosynthesis 
 BSU_34110, rsbP, protein serine phosphatase, dephosphorylates [[protein|AC64DA463250A090A62E50901EFE653C8F963872]]
 BSU_18510, yoxC, general stress protein, BSU_18510
 BSU_tRNA_77, trnSL-Tyr1, null, translation
 new_4091310_4091407_c, S1531, new RNA feature, new_4091310_4091407_c
 new_2467979_2468158_c, S899, new RNA feature, new_2467979_2468158_c
 new_3513628_3513886, S1311, new RNA feature, new_3513628_3513886
 BSU_31090, ktrA, high affinity potassium  channel [[protein|92D0275E0768780F782F4B3724BC5181E436B6B1]]-[[protein|A287B9771A56D03ADCA603C1969CBF03DCB10E95]], BSU_31090
 new_1281024_1281127, S445, new RNA feature, new_1281024_1281127
 BSU_rRNA_20, rrnB-23S, 23S rRNA, translation
 new_621713_621846, S202, new RNA feature, new_621713_621846
 BSU_17840, fosB, bacillithiol-S-transferase; confers resistence against antimicrobial compounds from <i>B. amyloliquefaciens</i>, confers resistence against antimicrobial compounds from <i>B. amyloliquefaciens</i>
 BSU_22930, sleB, spore cortex-lytic enzyme, degration of the spore cortex
 BSU_19430, cdaS, sporulation-specific diadenylate cyclase, BSU_19430
 BSU_13710, ykvI, unknown, unknown
 BSU_23800, proI, pyrroline-5-carboxylate reductase, biosynthesis of proline
 new_1071973_1072041_c, S350, new RNA feature, new_1071973_1072041_c
 BSU_09010, yhcA, c-di-AMP exporter, secretion of cyclic di-AMP
 BSU_14660, ykzI, general stress protein, unknown
 BSU_03340, folEB, GTP cyclohydrolase IB, replaces [[protein|7732A37D59E2643F232F2C0AFE51BCF7A79EDE29]] under conditions of zinc starvation
 BSU_15620, sirB, sirohydrochlorin ferrochelatase, siroheme biosynthesis
 BSU_14640, yktA, unknown, unknown
 BSU_20120, yosH, unknown, unknown
 new_1754642_1754742, S602, new RNA feature,
 new_1754642_1754742, , ,
 new_1901738_1901854, S642, new RNA feature,
 new_1901738_1901854, , ,
 new_3195466_3195557_c, S1189, new RNA feature,
 new_3195466_3195557_c, , ,
 new_1171643_1171754_c, S394, new RNA feature,
 new_1171643_1171754_c, , ,
 BSU_28600, yshB, unknown, unknown
 new_2664534_2664730, S974, new RNA feature, new_2664534_2664730
 BSU_06200, ydjH, required for membrane localization of [[protein|CA4EF8385EAA4BBC47FF0D998C820D9F36F5F94D]] and [[protein|3B6F4FBB19401069E827EAF5835DD15AAA3C3487]] upon stress, targeting of [[protein|3B6F4FBB19401069E827EAF5835DD15AAA3C3487]]
 BSU_13580, mtnE, glutamine transaminase, methionine salvage
 new_1586172_1586239, S556, new RNA feature,
 new_1586172_1586239, , ,
 BSU_16900, ymfK/2, part of the ymfK pseudogene, unknown
 BSU_20330, yorM, unknown, unknown
 new_1129272_1129714, S374, new RNA feature, new_1129272_1129714
 new_1446841_1447052, S499, new RNA feature,
 new_1446841_1447052, , ,
 BSU_02170, ybfB, putative transporter, unknown
 new_3535821_3536011, sacB leader RNA, 5'UTR of [[gene|AAA944BE7F01CE90F7730EECA16F3E4ED77D165A]], new_3535821_3536011
 new_1893246_1893320, S635, new RNA feature, new_1893246_1893320
 BSU_39700, iolG, inositol 2-dehydrogenase, myo-inositol catabolism
 BSU_35820, gerBC, lipoprotein, germination response to the combination of glucose
 BSU_35370, csrA, motility regulator, promotes the base pairing between the [[gene|FC93BA60BD185DE5EF31D5605F0B8294EC2E8E5A]] RNA and the [[gene|62F8E0D6BC9DA6390256FA8FB684EA5C9C722AE4]] mRNA
 BSU_08870, ygaN, unknown, unknown
 BSU_17360, ymzA, unknown, unknown
 BSU_03600, tcyB, cystine and diaminopimelate [wiki|ABC transporter] (permease), cystine and diaminopimelate uptake
 new_1630017_1630089, S568, new RNA feature,
 new_1630017_1630089, , ,
 BSU_05690, ydhB, unknown, unknown
 BSU_27770, yrbE, similar to dehydrogenase, unknown
 BSU_06720, dgkB, diacylglycerol kinase, biosynthesis of lipoteichoic acid
 new_490705_490776_c, S146, new RNA feature, new_490705_490776_c
 new_3132220_3132310_c, S1168, new RNA feature, new_3132220_3132310_c
 BSU_01190, rplB, ribosomal protein L2, BSU_01190
 BSU_39920, asnH, asparagine synthase (glutamine-hydrolysing), biosynthesis of asparagine
 BSU_20490, yoqW, similar to general secretion pathway protein, unknown
 BSU_17260, aprX, intracellular alkaline serine protease, protein degradation
 new_1937876_1938065_c, S673, new RNA feature, new_1937876_1938065_c
 BSU_tRNA_27, trnI-Pro, null, translation
 new_1204423_1204697_c, S399, new RNA feature, new_1204423_1204697_c
 BSU_11560, yjbI, truncated hemoglobin, BSU_11560
 BSU_13540, ogt, O6-methylguanine DNA alkyltransferase, DNA repair
 new_1670054_1671124_c, S578, new RNA feature, new_1670054_1671124_c
 new_1485897_1486004, S517, new RNA feature,
 new_1485897_1486004, , ,
 BSU_32160, sufA, Fe-S carrier protein, assembly of Fe-S clusters
 new_2603868_2603981_c, S953, new RNA feature, new_2603868_2603981_c
 new_3036410_3036583, S1137, new RNA feature, new_3036410_3036583
 BSU_16500, tsf, elongation factor Ts, BSU_16500
 BSU_29450, argG, argininosuccinate synthase, BSU_29450
 new_508090_508247, S156, new RNA feature, new_508090_508247
 BSU_11860, yjcH, unknown, unknown
 BSU_18950, yozL, unknown, unknown
 BSU_32849, yuzL, unknown, unknown
 BSU_34940, yvpB, similar to peptidase, unknown
 BSU_23410, spoVAD, essential for the uptake of the 1:1 chelate of pyridine-2,6)) and Ca(2 ) into developing spores
 BSU_14580, pdhA, pyruvate dehydrogenase (E1 alpha subunit), BSU_14580
 BSU_25580, comEB, dCMP deaminase, nucleotide scavenging protein for efficient reutilization of the products of degradation of the non-transforming strand during DNA uptake
 new_1395911_1396012, S474, new RNA feature, new_1395911_1396012
 BSU_03660, yclE, similar to prolyl aminopeptidase, unknown
 BSU_00750, pabA, para-aminobenzoate synthase (subunit B)/ anthranilate synthase (subunit II), biosynthesis of folate and tryptophan
 BSU_35280, yvjA, unknown, unknown
 BSU_36670, csbD, general stress protein, survival of salt stress and at low temperatures
 BSU_11150, yitV, similar to esterase, unknown
 BSU_25670, yqeH, assembly/ stability of the 30S subunit of the ribosome, BSU_25670
 new_1298224_1298337, S450, new RNA feature,
 new_1298224_1298337, , ,
 BSU_12060, yjdI, similiar to Cys-tRNA(Pro) and Cys-tRNA(Cys) deacylase, maturation of tRNA
 new_873289_873401, S277, new RNA feature,
 new_873289_873401, , ,
 BSU_31960, dhbF, involved in 2, BSU_31960
 BSU_07930, yfkD, unknown, unknown
 BSU_00170, yaaI, general stress protein, BSU_00170
 BSU_28645, BSU_28645, , 
 new_1120829_1120947_c, S368, new RNA feature, new_1120829_1120947_c
 BSU_09390, ygxB, general stress protein, unknown
 new_3301384_3301448_c, S1239, new RNA feature, new_3301384_3301448_c
 BSU_11680, thiS, sulfur carrier protein, BSU_11680
 BSU_17559, ynzI, unknown, unknown
 BSU_09030, yhcC, unknown, unknown
 new_3923478_3923862, S1475, new RNA feature,
 new_3923478_3923862, , ,
 BSU_10390, yhfW, similar to Rieske 2Fe-2S iron-sulfur protein, unknown
 BSU_04300, ydaM, general stress protein, BSU_04300
 BSU_21000, yonT, toxin, unknown
 BSU_39820, htpG, class III heat-shock protein (molecular chaperone), chaperone
 BSU_27670, spoVB, MurJ family lipid II flippase, BSU_27670
 BSU_17780, yndG, unknown, unknown
 BSU_09350, yhdB, unknown, unknown
 new_996597_997083_c, S319, new RNA feature, new_996597_997083_c
 new_4180378_4180481_c, S1568, new RNA feature, new_4180378_4180481_c
 new_519561_520160_c, S164, new RNA feature, new_519561_520160_c
 BSU_14370, yknZ, [wiki|ABC transporter] (permease) for the export of the [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin, resistence against [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin
 new_2409636_2409728, S874, new RNA feature, new_2409636_2409728
 BSU_30990, thiT, S protein of thiamine [wiki|ECF transporter], thiamine uptake
 BSU_05800, pbuE, putative hypoxanthine exporter, nucleotide metabolism
 new_4185682_4186509_c, S1570, new RNA feature, new_4185682_4186509_c
 new_1467701_1467804, S507, new RNA feature, new_1467701_1467804
 BSU_13430, ykoX, similar to alkaline phosphatase, unknown
 BSU_33210, yvrG, two-component sensor kinase of the YvrG-YvrHb two-component system, regulation cell surface maintenance
 BSU_32860, yusN, unknown, unknown
 BSU_26930, yraI, unknown, unknown
 BSU_22710, aroF, chorismate synthase, biosynthesis of aromatic amino acids
 new_2720264_2720343_c, S998, new RNA feature, new_2720264_2720343_c
 BSU_10950, yitD, phosphosulfolactate synthase, biosynthesis of L-sulfolactate
 BSU_33660, rghR, transcriptional repressor ([wiki|Xre family]) of [[gene|4670F7C4CB9084A5BA478CAE238FA0F8C39F3A7E]], [[gene|rapH ]]and [[gene|AD4702CC69AC7D5FF391F14176881D582DD1C68A]]
 BSU_rRNA_26, rrnA-5S, 5S rRNA, translation
 BSU_35850, ywtE, dephosphorylation of the riboflavin precursor,4(1H
 BSU_14400, fruA, fructose-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system], BSU_14400
 BSU_misc_RNA_58, tboTA, , 
 BSU_16390, flhA, part of the flagellar type III export apparatus  (flagellar Type III secretion system), BSU_16390
 BSU_23328, ypzJ, unknown, unknown
 BSU_10010, trpP, S protein of tryptophan [wiki|ECF transporter], tryptophan uptake
 BSU_22080, ypwA, carboxypeptidase, BSU_22080
 BSU_06400, yebE, unknown, unknown
 BSU_07920, chaA, H<sup>+</sup>/Ca<sup>2+</sup> exchanger, calcium export
 BSU_33240, oxdC, oxalate decarboxylase, unknown
 BSU_24760, rsbRD, probably part of the [wiki|stressosome], BSU_24760
 new_1605491_1605580, S564, new RNA feature,
 new_1605491_1605580, , ,
 BSU_04460, dctR, two-component response regulator, BSU_04460
 BSU_33580, yvaF, Uncharacterized HTH-type transcriptional regulator, unknown
 new_3819213_3819619, S1446, new RNA feature, new_3819213_3819619
 BSU_11710, thiD, 4-amino-5-hydroxymethyl-2-methylpyrimidine and 4-amino-5-hydroxymethyl-2-methylpyrimidine pyrophosphate kinase, biosynthesis of thiamine pyrophosphate (TPP)
 BSU_23130, resC, part of heam translocase, BSU_23130
 BSU_tRNA_31, trnD-Glu, null, translation
 new_3298930_3299376, S1234, new RNA feature,
 new_3298930_3299376, , ,
 BSU_04010, sipU, signal peptidase I, protein secretion
 BSU_07280, yfnG, similar to CDP-glucose 4, BSU_07280
 BSU_25600, comER, control of biofilm formation and sporulation via the phosphorelay, control of biofilm formation and sporulation via the phosphorelay
 BSU_16370, fliR, part of the flagellar type III export apparatus  (flagellar Type III secretion system), BSU_16370
 BSU_34720, psdR, two-component response regulator ([wiki|OmpR family]), [[protein|DDB0022F50999AC52809D651C9CC5A5FDC71302C]])
 new_456926_457022, S134, new RNA feature, new_456926_457022
 new_3106142_3106209, S1159, new RNA feature, new_3106142_3106209
 new_1253669_1254769, S425, new RNA feature, new_1253669_1254769
 BSU_27300, yrrS, sporulation protein, BSU_27300
 BSU_37130, spo0F, phosphotransferase of the [wiki|sporulation] initiation [wiki|phosphorelay], initiation of [wiki|sporulation]
 BSU_22020, ypbS, unknown, unknown
 new_3060225_3060673_c, S1146, new RNA feature,
 new_3060225_3060673_c, , ,
 new_3292408_3292489_c, S1229, new RNA feature,
 new_3292408_3292489_c, , ,
 new_194669_194786, S67, new RNA feature,
 new_194669_194786, , ,
 BSU_36080, ywrF, similar to nitrilotriacetate monooxygenase component B, unknown
 BSU_03960, ycnK, copper-responsive transcription repressor of  the [[gene|98D807FBB847BF731B5C236557C8F70347279CE0]]-[[gene|D0F553E661A35C69380ACB01D9A96FC6C5088470]]-[[gene|1B7F59F954A1F20F75F5D4953F84CE58171741DE]] operon, BSU_03960
 new_2608912_2610324, S956, new RNA feature,
 new_2608912_2610324, , ,
 BSU_21900, bsaA, similar to glutathione peroxidase, unknown
 BSU_27280, yrrT, putative AdoMet-dependent methyltransferase, methionine salvage
 BSU_18360, galM, aldose-1-epimerase, unknown
 new_967139_967321, S311, new RNA feature, new_967139_967321
 BSU_32500, pucB, xanthine dehydrogenase, purine utilization
 BSU_37690, bacF, aminotransferase involved in bacilysin synthesis, biosynthesis of the antibiotic bacilysin
 new_2225094_2225336, S798, new RNA feature,
 new_2225094_2225336, , ,
 BSU_13819, ykzS, unknown, unknown
 BSU_33400, yvgN, glyoxal reductase, BSU_33400
 BSU_03430, nucA, membrane-associated nuclease, BSU_03430
 BSU_11799, yjzK, unknown, unknown
 BSU_25840, phrE, response regulator aspartate phosphatase (RapE) regulator, BSU_25840
 new_1263613_1263701_c, S431, new RNA feature, new_1263613_1263701_c
 BSU_13670, mhqR, [wiki|MarR family ]transcriptional repressor of [[gene|0E2B1914A040666BAF042C0BE3F468144E1F1E06]], [[gene|43CD556065D2EF14365C78E014B7B2051CA0C78F]]-[[gene|A1CB3DCF2EC78B9B0585CA6AC6F5BB37B8AF0208]]and [[gene|A0842DD5F1B13AC15C95F18751E7836DF31B262A]]-[[gene|ACAFB2072E74CC059B492A31EF492028B96C569F]]-[[gene|mhqP ]]expression
 new_2002352_2002456_c, S681, new RNA feature, new_2002352_2002456_c
 new_3072287_3072400, S1151, new RNA feature, new_3072287_3072400
 BSU_26240, yqaO, similar to phage-related protein, unknown
 BSU_03240, ycgQ, unknown, unknown
 BSU_34950, pelC, pectate lyase C, degradation of polygalacturonic acid
 BSU_37960, ywdH, similar to aldehyde dehydrogenase, unknown
 BSU_19130, yocA, similar to cell wall hydrolase, unknown
 BSU_21550, yokL, similar to spermidine/spermine N-acetyltransferase, unknown
 BSU_11020, yitK, similar to nucleotide-binding protein, unknown
 BSU_33090, liaS, two-component sensor kinase/phosphatase, BSU_33090
 BSU_40030, yxaB, general stress protein, BSU_40030
 BSU_19620, ldcB, LD-carboxypeptidase, BSU_19620
 BSU_38610, yxzF, general stress protein, unknown
 BSU_13110, ykkE, formyltetrahydrofolate deformylase, purine nucleotide synthesis
 BSU_rRNA_27, rrnG-23S, 23S rRNA, translation
 BSU_09850, khtU, K<sup>+</sup>/H<sup>+</sup> antiporter for K<sup>+</sup> efflux, potassium ion efflux
 BSU_26660, yrdN, putative 4-oxalocrotonate tautomerase, unknown
 new_2212747_2212847, S789, new RNA feature,
 new_2212747_2212847, , ,
 BSU_16860, ymfH, similar to peptidase, unknown
 new_527912_528128, S167, new RNA feature, new_527912_528128
 BSU_04450, dctS, two-component sensor kinase, BSU_04450
 BSU_17730, yndB, may be involved in the stress response of <i>B. subtilis</i> to chalcone-like flavonoids released by plants due to a pathogen infection, unknown
 BSU_07250, yetO, cytochrome P450 (CYP102A2)/ NADPH-cytochrome P450 reductase, fatty acid metabolism
 new_2310988_2311968, S832, new RNA feature, new_2310988_2311968
 new_507739_508088, S155, new RNA feature,
 new_507739_508088, , ,
 BSU_20140, yosF, unknown, unknown
 BSU_02060, ybxG, amino acid permease, BSU_02060
 BSU_04060, ycsG, putative transporter, unknown
 BSU_14570, ykyA, unknown lipoprotein, unknown
 BSU_13230, thiV, thiamine [wiki|ECF transporter] (membrane protein, BSU_13230
 BSU_00200, yaaK, similar to DNA-binding protein, unknown
 BSU_20000, yosU, unknown, unknown
 new_1117924_1118790, S367, new RNA feature,
 new_1117924_1118790, , ,
 new_2778792_2778922_c, S1025, new RNA feature,
 new_2778792_2778922_c, , ,
 new_951346_951431, S305, new RNA feature,
 new_951346_951431, , ,
 BSU_36215, BSU_36215, , 
 BSU_25150, yqfQ, late sporulation protein, unknown
 BSU_09720, bmrD, multidrug [wiki|ABC transporter ](ATP-binding protein), BSU_09720
 BSU_30780, menC, O-succinylbenzoate synthase, biosynthesis of menaquinone
 BSU_37850, spsG, legionaminic acid synthesis, legionaminic acid synthesis
 new_2886044_2886133_c, S1067, new RNA feature, new_2886044_2886133_c
 BSU_32100, yumB, similar to type II NADH dehydrogenase (non proton-pumping), unknown
 BSU_26569, BSU_26569, , 
 BSU_40510, gdpP, c-di-AMP specific phosphodiesterase, control of sporulation initiation
 BSU_34360, epsB, extracellular polysaccharide synthesis, phosphorylation of [[protein|5D717F9F54693FD0AA8BC49E10348637858F88B9]]
 BSU_38300, thiM, hydroxyethylthiazole kinase, biosynthesis of thiamine
 BSU_07210, yetK, unknown, unknown
 BSU_00700, coaX, type III pantothenate kinase, biosynthesis of coenzyme A
 new_1269585_1269672, S436, new RNA feature, new_1269585_1269672
 new_3016405_3016534_c, S1120, new RNA feature, new_3016405_3016534_c
 BSU_06530, purD, phosphoribosylglycinamide synthetase, purine biosynthesis
 BSU_21570, yokJ, antitoxin, inhibition of the cytotoxic activity of [[protein|13C081250872E72C61C49D8F77AC5AF4B6D431A3]]
 BSU_23700, yqjX, unknown, unknown
 new_2625913_2626090_c, S959, new RNA feature, new_2625913_2626090_c
 BSU_32230, yuxL, similar to acylaminoacyl-peptidase, unknown
 BSU_37760, rocC, amino acid permease, arginine
 BSU_09110, yhcJ, similar to [wiki|ABC transporter] (binding lipoprotein), unknown
 new_3335006_3335393_c, S1251, new RNA feature,
 new_3335006_3335393_c, , ,
 BSU_tRNA_41, trnD-Gly, null, translation
 new_3045331_3045396_c, S1140, new RNA feature,
 new_3045331_3045396_c, , ,
 new_1901856_1902166, S643, new RNA feature, new_1901856_1902166
 BSU_17910, yneF, membrane protein, unknown
 new_1721108_1721213, S589, new RNA feature, new_1721108_1721213
 BSU_15430, ileS, isoleucyl-tRNA synthetase, translation
 new_112499_112799, S46, new RNA feature,
 new_112499_112799, , ,
 BSU_02480, ycbE, galactarate/glucarate transporter in (proton symport), glucarate uptake
 BSU_17700, cotC, spore coat protein (outer), resistance of the spore
 BSU_misc_RNA_38, Gly-box, Gly-box riboswitch controlling the expression of the gcvT-gcvPA-gcvPB operon, control of the gcvT-gcvPA-gcvPB operon
 BSU_30430, ytrD, [wiki|ABC transporter] (hydrophobic protein, BSU_30430
 BSU_13169, ykzN, unknown, unknown
 BSU_misc_RNA_92, as-bsrH, regulatory RNA, antisense for [[gene|53714CE39C840B69F94ED8C25737A5BD1840852F]]
 BSU_02040, ybdN, unknown, unknown
 BSU_26449, BSU_26449, , 
 BSU_32720, yurZ, unknown, unknown
 BSU_40750, yyaQ, unknown, unknown
 BSU_23600, yqxK, similar to lesion-specific endonuclease EndoQ, unknown
 BSU_23500, drm, phosphopentomutase, utilization of deoxyribose
 BSU_03520, srfAD, surfactin synthetase / competence, antibiotic synthesis
 new_3446078_3446175_c, S1284, new RNA feature, new_3446078_3446175_c
 new_1150647_1150849_c, S383, new RNA feature, new_1150647_1150849_c
 BSU_21800, ypkP, unknown, unknown
 BSU_40910, rpsF, ribosomal protein BS6, translation
 BSU_15960, sivC, inhibitor of entry into sporulation via [[protein|2111AC1AE49D1006E10DC127BF5B7A0327DE94A7]] or [[protein|A656321846B2E0D1F39B528E2D8B8E620CCD1148]], control of entry into sporulation via the phosphorelay
 BSU_21590, yokH, unknown, unknown
 BSU_19780, cgeA, spore crust protein, BSU_19780
 BSU_33340, sspJ, small acid-soluble spore protein (minor), protection of spore DNA
 BSU_04890, ydcT, unknown, unknown
 BSU_24390, spoIIIAE, component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane, BSU_24390
 BSU_07540, yfmA, unknown, unknown
 new_1680259_1680378, S582, new RNA feature,
 new_1680259_1680378, , ,
 BSU_20380, yorH, unknown, unknown
 new_2908835_2909456_c, S1077, new RNA feature,
 new_2908835_2909456_c, , ,
 BSU_26089, yqzN, unknown, unknown
 BSU_01060, ybxB, unknown, unknown
 BSU_02150, ybeF, unknown, unknown
 new_1150516_1150645_c, S382, new RNA feature,
 new_1150516_1150645_c, , ,
 new_2663336_2663531_c, S973, new RNA feature, new_2663336_2663531_c
 BSU_24210, yqiG, similar to NADH-dependent flavin oxidoreductase, unknown
 new_1507447_1507538, S522, new RNA feature, new_1507447_1507538
 BSU_34120, ganB, endo-1, BSU_34120
 new_599344_599505_c, S192, new RNA feature,
 new_599344_599505_c, , ,
 BSU_09165, yhcO, unknown, unknown
 BSU_07830, hypO, NADPH-flavin nitroreductase, protection against NaOCl stress
 BSU_14910, ctaE, cytochrome-c oxidase (caa<sub>3</sub>) (subunit III), respiration
 BSU_19950, sspC, small acid-soluble spore protein (minor alpha/beta-type SASP), protection of spore DNA
 BSU_32600, frlO, aminosugar [wiki|ABC transporter] (binding protein), uptake of sugar amines
 BSU_37900, spsB, putative glycosyltransferase, spore crust polysaccharide synthesis
 BSU_40576, BSU_40576, , 
 new_911330_911718_c, S286, new RNA feature,
 new_911330_911718_c, , ,
 BSU_13260, ykoH, two-component sensor kinase, unknown
 BSU_12920, dppA, D-alanyl-aminopeptidase, degradation of cell wall peptides
 new_343495_343573, S114, new RNA feature,
 new_343495_343573, , ,
 new_3777872_3780532, S1420, new RNA feature, new_3777872_3780532
 BSU_21080, yonI, unknown, unknown
 BSU_40670, yybE, similar to transcriptional regulator ([wiki|LysR family]), unknown
 new_3862327_3866553, S1458, new RNA feature, new_3862327_3866553
 new_3666577_3666932_c, S1364, new RNA feature, new_3666577_3666932_c
 BSU_09400, spoVR, involved in spore cortex synthesis, spore cortex synthesis
 BSU_19760, cgeD, maturation of the outermost layer of the spore, maturation of the outermost layer of the spore
 BSU_06060, ydiO, similar to DNA-3-methyladenine glycosidase II, BsuM DNA modification
 BSU_38820, yxkF, unknown, unknown
 BSU_tRNA_23, trnI-Asn, null, translation
 new_2995911_2996282, S1110, new RNA feature,
 new_2995911_2996282, , ,
 BSU_32400, yunG, unknown, unknown
 new_2767968_2768041_c, S1020, new RNA feature, new_2767968_2768041_c
 BSU_24050, bkdAA, 2-oxoisovalerate dehydrogenase (E1 alpha subunit), utilization of branched-chain keto acids
 BSU_24020, bmrR, transcriptional activator ([wiki|MerR family]) of the [[gene|ADBC0F194B601F736492E54011E0A68351B5BD39]]-[[gene|9F2C1C9A9DB7AA4CBE72D7C94932B69C8EF0565C]] operon, BSU_24020
 BSU_33840, opcR, transcriptional repressor of the [[gene|3F502A4DCB1DAD7C3F968465B13C35213240515B]]-[[gene|70B45E7428DB1F6AEF7D2FE3062CC86BE96674FC]]-[[gene|C48798FE13B1521236F5BC5786B9A02D7BC9A336]]-[[gene|1532EC3D741C5AB3D0B642741218FAE00AD460FA]] and [[gene|75DB6231129C28C5D3791BA43A1261CD46A861E8]]-[[gene|83C45215AC86FACB08CF36EB5F9E6B076D7D0F0F]]-[[gene|CBA6108A10AD8B932BC5B19A0E7982D0F56F1E08]]-[[gene|76C8D6BF2CA1FA5E7392C52FFD55FD01EF5AB9DC]] operons, regulation of choline uptake
 BSU_36970, spoIIR, required for processing and compartmentalization of pro-[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]], control of [[protein|SigE ]]activation
 BSU_20520, yoqT, unknown, unknown
 new_2818161_2818445, S1044, new RNA feature, new_2818161_2818445
 new_2723805_2723891_c, S1000, new RNA feature,
 new_2723805_2723891_c, , ,
 BSU_26827, BSU_26827, , 
 BSU_17430, ynbA, GTP-binding protein, rescues translationally arrested ribosomes
 BSU_16590, ylxS, similar to ribosome maturation protein, ribosome maturation
 BSU_29510, ytfI, sporulation protein, unknown
 BSU_23680, yqjZ, unknown, unknown
 BSU_07990, yfjR, similar to 3-hydroxyisobutyrate dehydrogenase, unknown
 BSU_21820, thyB, thymidylate synthase B, biosynthesis of thymidine nucleotides
 new_1907202_1907287, S649, new RNA feature, new_1907202_1907287
 BSU_12750, xkdV, PBSX prophage, unknown
 new_129162_129283, S52, new RNA feature,
 new_129162_129283, , ,
 BSU_22430, panB, 3-methyl-2-oxobutanoate hydroxymethyltransferase, biosynthesis of coenzyme A
 BSU_30659, ytzI, unknown, unknown
 BSU_33470, bdbC, thiol-disulfide oxidoreductase, BSU_33470
 BSU_20999, yoyJ, toxin (weakly active), unknown
 BSU_24040, bkdAB, 2-oxoisovalerate dehydrogenase (E1 beta subunit), utilization of branched-chain keto acids
 BSU_00330, yabA, inhibitor of [[protein|6740108089F13116F200C15F35C2E7561E990FEB]] oligomerization, BSU_00330
 BSU_34510, yvdQ, putative spore coat protein, protection of the spore
 BSU_01590, ybaS, similar to Na+-dependent transporter, unknown
 BSU_18940, yozK, N-terminal fragment of the Y family DNA polymerase [[protein|A04F698C8836E84991BC875BCB7B1460D8E74A8E]]-[[protein|ED0A85A8A5FCD12C99507EB033F88586521A7C47]], unknown
 new_599509_599874_c, S193, new RNA feature, new_599509_599874_c
 BSU_05480, mhqN, similar to NAD(P)H nitroreductase, unknown
 BSU_13500, ktrD, glutamate-controlled potassium channel [[protein|15F9BF08762D28CBCD3D9748EFBD29B0D6FD7623]]-[[protein|A0952B75E5BD0D09B0F4C257822428640998558B]], BSU_13500
 BSU_09650, srtN, protein deacetylase and lipoamidase, control of [[protein|AcsA ]]activity
 BSU_12340, uxuA, D-mannonate hydrolyase, hexuronate utilization
 BSU_27380, yrzB, unknown, unknown
 new_3923131_3923318, S1474, new RNA feature, new_3923131_3923318
 BSU_04910, conB, part of the ICEBs1 conjugation machinery, BSU_04910
 BSU_03910, gabD, succinate-semialdehyde dehydrogenase (NADP), BSU_03910
 BSU_21890, ypgQ, Mn<sup>2+</sup>-dependent pyrophosphohydrolase, BSU_21890
 BSU_25100, zur, transcriptional repressor, BSU_25100
 BSU_19749, yoyG, unknown, unknown
 BSU_03050, ldh, L-lactate dehydrogenase, overflow metabolism
 BSU_misc_RNA_41, bsrA, 6S RNA, antagonist of [[protein|360F48D576DE950DF79C1A2677B7A35A8D8CC30C]]
 new_3263403_3263797, S1220, new RNA feature, new_3263403_3263797
 BSU_40980, yyaB, unknown, unknown
 BSU_27810, yrbD, sodium/proton-dependent alanine transporter, uptake of alanine
 new_3105438_3105878, S1157, new RNA feature,
 new_3105438_3105878, , ,
 BSU_20950, yopB, unknown, unknown
 BSU_39910, yxnB, unknown, unknown
 BSU_16790, tepA, orphan [[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]]-like [wiki|germination] protease, BSU_16790
 BSU_08170, yfjA, unknown, unknown
 BSU_28370, rph, RNase PH, BSU_28370
 BSU_40460, yyzB, unknown, unknown
 BSU_40290, yycN, putative N-acetyltransferase, unknown
 BSU_20750, yopV, unknown, unknown
 BSU_32370, yunD, putative metallophosphoesterase, unknown
 BSU_12380, uxaB, tagaturonate reductase, hexuronate utilization
 BSU_19570, mhqE, dioxygenase/glyoxalase, resistance to methyl hydroquinone and catechol
 new_304308_304389_c, S104, new RNA feature, new_304308_304389_c
 BSU_38100, ywcH, similar to monooxygenase, unknown
 BSU_21310, yozP, unknown, unknown
 new_2388935_2389134_c, S863, new RNA feature,
 new_2388935_2389134_c, , ,
 BSU_05010, rapI, response regulator aspartate phosphatase, BSU_05010
 BSU_17920, ynzD, Spo0A-P phosphatase, BSU_17920
 new_490527_490638_c, S144, new RNA feature,
 new_490527_490638_c, , ,
 BSU_18770, yoaV, putative cysteine and O-acetyl serine efflux permease, unknown
 BSU_09200, yhcS, sortase, anchoring of proteins to the cell wall
 BSU_04550, ydbP, similar to thioredoxin, unknown
 new_1240279_1240355, S419, new RNA feature, new_1240279_1240355
 BSU_22800, spoIVA, ATPase, anchors the spore coat to the spore surface via [[protein|BBDA32A4EE3389D6F4404F7B3DA9E13AC7BF8055]]
 new_2338392_2338537, S842, new RNA feature, new_2338392_2338537
 BSU_05170, ydeE, similar to transcription factor (AraC family), unknown
